company_name,domain,ccm_company_size,ccm_industry,category_name,topic_id,topic_name,composite_score,country,metro_area,domain_origin,cdt
irib,irib.ir,"XXLarge (10,000+ Employees)",Media & Internet > Media Broadcasting,Programming Languages,1503137,R,41,,,Islamic Republic of Iran,2017-07-23 12:07:00 UTC
irib,irib.ir,"XXLarge (10,000+ Employees)",Media & Internet > Media Broadcasting,Programming Languages,1503137,R,38,,,Islamic Republic of Iran,2017-07-30 11:07:00 UTC
american university of kuwait,auk.edu.kw,Medium-Small (50 - 199 Employees),Education > Colleges & Universities,Programming Languages,1503137,R,48,,,Kuwait,2017-07-16 11:07:00 UTC
american university of kuwait,auk.edu.kw,Medium-Small (50 - 199 Employees),Education > Colleges & Universities,Programming Languages,1503137,R,54,,,Kuwait,2017-07-09 11:07:00 UTC
american university of kuwait,auk.edu.kw,Medium-Small (50 - 199 Employees),Education > Colleges & Universities,Programming Languages,1503137,R,45,,,Kuwait,2017-07-23 12:07:00 UTC
pt nap info lintas nusa,nap.net.id,,Telecommunications,Programming Languages,1503137,R,50,,,Indonesia,2017-07-16 11:07:00 UTC
pt nap info lintas nusa,nap.net.id,,Telecommunications,Programming Languages,1503137,R,54,,,Indonesia,2017-07-09 11:07:00 UTC
compañia anónima el universo,eluniverso.com,,,Programming Languages,1503137,R,52,,,Ecuador,2017-07-23 12:07:00 UTC
compañia anónima el universo,eluniverso.com,,,Programming Languages,1503137,R,47,,,Ecuador,2017-07-30 11:07:00 UTC
microlistics pty ltd,microlistics.com.au,Small (10 - 49 Employees),Transportation & Travel > Trucking & Logistics,Programming Languages,1503137,R,47,Australia,"Melbourne (Inner), VIC",Australia,2017-07-30 11:07:00 UTC
åre kommun,are.se,"Large (1,000 - 4,999 Employees)",Government,Programming Languages,1500209,C#,40,,,Sweden,2017-07-16 11:07:00 UTC
åre kommun,are.se,"Large (1,000 - 4,999 Employees)",Government,Programming Languages,1500209,C#,45,,,Sweden,2017-07-09 11:07:00 UTC
åre kommun,are.se,"Large (1,000 - 4,999 Employees)",Government,Programming Languages,1500209,C#,37,,,Sweden,2017-07-23 12:07:00 UTC
